Job Title,Location,Incentives,Due Date,URL,Scraped Date,Last Seen
Registered Nurse - Emergency Department - Incentives Offered,"Tamworth, Tamworth Hospital | New England / North West","annually, our ed offers a diverse and dynamic environment that includes a healthy mix of adult and paediatric patients. our ed models of care include 3 resus bays, acute care, emergency short stay unit, fast track, and a designated paediatric emergency unit. you will be supported in all areas of the department and as one of the largest teaching and referral hospitals within hunter new england, tamworth is full of exciting opportunities for career progression in our highly skilled multi-disciplinary team. in collaboration with our nursing and medical staff, intensive care unit, mental health unit, paediatric department and allied health, we conduct regular education sessions to create pathways to learning and building healthy working relationships across all disciplines. our modern education facilities provide an excellent simulation environment to provide regular interactive learning opportunities within our multi-disciplinary team. at hunter new england health enjoy a career where you're challenged by interesting work and surrounded by spectacular locations. join the team enriching health in millions of ways every day: be rewarded with up to; payments under the rural health workforce incentive scheme.* sustainable healthcare: together towards zero proximity to shopping and other services monthly allocated days off (for full-time employees) 4 weeks annual leave (pro-rata for part time employees) 6 weeks annual leave (for eligible full time nurses) paid parental leave (for eligible employees) - giving you the opportunity for true worklife balance salary packaging options - up to; salary packaging employment type: permanent full time, permanent part time, temporary full time, temporary part time and casual opportunities available position classification: registered nursehours per week: up to",10th june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-emergency-department-incentives-offered-293498,2025-06-06,2025-06-06
Child and Family Health Registered Nurse Building Strong Foundations,"Tamworth, Tamworth Community Health Service | New England / North West",,8th of june 2025,https://jobs.health.nsw.gov.au/jobs/child-and-family-health-registered-nurse-building-strong-foundations-293487,2025-06-06,2025-06-06
Registered Nurse,"Katoomba, Katoomba Community Health Centre | Western Sydney",,10/06/2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-293398,2025-06-06,2025-06-06
Registered Nurse,"Katoomba, Katoomba Community Health Centre | Western Sydney",,10/06/2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-293389,2025-06-06,2025-06-06
Registered Nurses - Orthopaedics,"Metford, The Maitland Hospital | Hunter",,"tuesday, 10th may 2025",https://jobs.health.nsw.gov.au/jobs/registered-nurses-orthopaedics-293166,2025-06-06,2025-06-06
Registered Nurse,"Narrabri, Narrabri District Hospital | New England / North West",,9th june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-293134,2025-06-06,2025-06-06
Nurse Bank (Registered Nurse) Mental Health Inpatients- Wagga Wagga,"Wagga Wagga, Wagga Wagga Base Hospital | Riverina",, 10 june 2025,https://jobs.health.nsw.gov.au/jobs/nurse-bank-registered-nurse-mental-health-inpatients-wagga-wagga-292127,2025-06-06,2025-06-06
Registered Nurse - Emergency Department - Incentives Offered,"Muswellbrook, Muswellbrook Hospital | Hunter",payments under the rural health workforce incentive scheme.* sustainable healthcare: together towards zero proximity to shopping and other services monthly allocated days off (for full-time employees) 4 weeks annual leave (pro-rata for part time employees) 6 weeks annual leave (for eligible full time nurses) paid parental leave (for eligible employees) - giving you the opportunity for true worklife balance salary packaging options - up to; salary packaginghours per week: up to,"sunday, 15th june 2025",https://jobs.health.nsw.gov.au/jobs/registered-nurse-emergency-department-incentives-offered-292068,2025-06-06,2025-06-15
Registered Nurse - Emergency Department Canterbury Hospital and Concord Hospital,"Camperdown, SLHD District Wide Services | Sydney",, 23 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-emergency-department-canterbury-hospital-and-concord-hospital-289565,2025-06-06,2025-06-15
Registered Nurse - Emergency Department,"Metford, The Maitland Hospital | Hunter",,"sunday, 15th june 2025",https://jobs.health.nsw.gov.au/jobs/registered-nurse-emergency-department-291773,2025-06-06,2025-06-15
Casual Registered Nurse - Targeted,"Taree, Manning Hospital | Mid North Coast and 1 additional location",,,https://jobs.health.nsw.gov.au/jobs/casual-registered-nurse-targeted-277324,2025-06-06,2025-06-25
"PEIRS - Child, Adolescent and Youth Registered Nurse","Westmead, Western Sydney Mental Health Service | Western Sydney and 1 additional location",,29th june 2025,https://jobs.health.nsw.gov.au/jobs/peirs-child-adolescent-and-youth-registered-nurse-294772,2025-06-06,2025-06-25
