Job Title,Location,Incentives,Due Date,URL,Scraped Date,Last Seen
Registered Nurse - Surgical Unit,"Hornsby, Hornsby Ku-ring-gai Hospital | Sydney",, 8 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-surgical-unit-296764,2025-06-25,2025-06-25
Registered Nurse - Scrub / Scout,"Hornsby, Hornsby Ku-ring-gai Hospital | Sydney",, 8 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-scrub-scout-296775,2025-06-25,2025-06-25
Registered Nurse - Infection Control - Queanbeyan Hospital,"Queanbeyan, Queanbeyan District Hospital | South Coast",, 4 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-infection-control-queanbeyan-hospital-296743,2025-06-25,2025-06-25
Registered Nurse - Surgical Stream - Wollongong Hospital,"Wollongong, Wollongong Hospital | Illawarra",, 30 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-surgical-stream-wollongong-hospital-296727,2025-06-25,2025-06-25
Registered Nurse - Recovery - Royal Hospital for Women,"Randwick, Royal Hospital for Women | Sydney",,,https://jobs.health.nsw.gov.au/jobs/registered-nurse-recovery-royal-hospital-for-women-296731,2025-06-25,2025-06-25
Registered Nurse Cardiac Catheter Lab,"St Leonards, Royal North Shore Hospital | Sydney",, 8 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-cardiac-catheter-lab-296710,2025-06-25,2025-06-25
Registered Nurse - Newborn Care Centre - Royal Hospital for Women,"Randwick, Royal Hospital for Women | Sydney",,,https://jobs.health.nsw.gov.au/jobs/registered-nurse-newborn-care-centre-royal-hospital-for-women-296704,2025-06-25,2025-06-25
Registered Nurse - Emergency,"Kingswood, Nepean Hospital | Western Sydney",,07/07/2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-emergency-296697,2025-06-25,2025-06-25
Registered Nurse - Acute Inpatient Unit - Macksville District Hospital,"Macksville, Macksville District Hospital | Mid North Coast",, 8 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-acute-inpatient-unit-macksville-district-hospital-296702,2025-06-25,2025-06-25
Pathways to Practice Program - St Vincent's Hospital Sydney,"Darlinghurst, St Vincent's Hospital Sydney | Sydney",,is 29 june 2025,https://jobs.health.nsw.gov.au/jobs/pathways-to-practice-program-st-vincents-hospital-sydney-296687,2025-06-25,2025-06-25
Registered Nurses - Medical Stream - Wollongong Hospital,"Wollongong, Wollongong Hospital | Illawarra",, 29 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurses-medical-stream-wollongong-hospital-296690,2025-06-25,2025-06-25
Registered Nurse,"Parramatta, Jeffery House | Western Sydney",,6th july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-296666,2025-06-25,2025-06-25
"Registered Nurse, Mental Health (RN2-8) - Casual - The Forensic Hospital Malabar","FH Malabar, FH Malabar Justice Health | Sydney",,14th july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-mental-health-rn2-8-casual-the-forensic-hospital-malabar-296599,2025-06-25,2025-06-25
Sustaining NSW Families Registered Nurse,"St Marys, St Marys Community Health Centre | Western Sydney",,06/07/2025,https://jobs.health.nsw.gov.au/jobs/sustaining-nsw-families-registered-nurse-296651,2025-06-25,2025-06-25
St George Hospital - Registered Nurse - Special Care Nursery - Permanent Full Time / Permanent Part Time,"Kogarah, St George Hospital | Sydney",, 29 june 2025,https://jobs.health.nsw.gov.au/jobs/st-george-hospital-registered-nurse-special-care-nursery-permanent-full-time-permanent-part-time-296655,2025-06-25,2025-06-25
Registered Nurse – NCC Equipment Nurse - RHW,"Randwick, Royal Hospital for Women | Sydney",,,https://jobs.health.nsw.gov.au/jobs/registered-nurse-%E2%80%93-ncc-equipment-nurse-rhw-296650,2025-06-25,2025-06-25
Registered Nurse Oncology,"St Leonards, Royal North Shore Hospital | Sydney",, 7 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-oncology-296628,2025-06-25,2025-06-25
Registered Nurse ICU,"Broken Hill, Broken Hill Health Service | Far West",annual leave salary packaging (pay less tax!) and enjoy up to; annual recruitment incentive package up to the value of,6th july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-icu-296640,2025-06-25,2025-06-25
Registered Nurse – Drug & Alcohol,"Kingswood, Nepean Hospital | Western Sydney",,06/07/2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-%E2%80%93-drug-alcohol-296638,2025-06-25,2025-06-25
Registered Nurse – St George MHS,"Kogarah, St George Mental Health Service | Sydney",, 6 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-%E2%80%93-st-george-mhs-296641,2025-06-25,2025-06-25
Registered Nurse - Critical Care Medicine - Temporary Full Time/Part Time - The Sutherland Hospital,"Caringbah, Sutherland Hospital | Sydney",, 6 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-critical-care-medicine-temporary-full-time-part-time-the-sutherland-hospital-296618,2025-06-25,2025-06-25
Registered Nurse - Paediatrics - Casual,"Liverpool, Liverpool Hospital | Western Sydney",,06/07/2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-paediatrics-casual-296624,2025-06-25,2025-06-25
"Registered Nurse, Clinical Resource Unit - Lismore","Lismore, Lismore Base Hospital | Far North Coast",, 06 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-clinical-resource-unit-lismore-296623,2025-06-25,2025-06-25
Registered Nurse Palliative Care,"Broken Hill, Broken Hill Health Service | Far West",annual recruitment incentive package up to the value of,6th july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-palliative-care-296619,2025-06-25,2025-06-25
Registered Nurse White Cliffs,"Wilcannia, Wilcannia District Hospital | Far West",annual recruitment incentive package up to the value of,23rd july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-white-cliffs-296614,2025-06-25,2025-06-25
Registered Nurse Wentworth Health Service,"Wentworth, Wentworth District Hospital | Murray",salary packaging (pay less tax!) $9009; annual recruitment incentive package up to the value of,6th july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-wentworth-health-service-296616,2025-06-25,2025-06-25
Registered Nurse - Casual Pool,"Liverpool, Liverpool Hospital | Western Sydney",,06/07/2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-casual-pool-296615,2025-06-25,2025-06-25
CCLHD - Registered Nurse - Medicine & Cardiac IPU,Central Coast and 1 additional location,,"wednesday, 2 july 2025",https://jobs.health.nsw.gov.au/jobs/cclhd-registered-nurse-medicine-cardiac-ipu-296606,2025-06-25,2025-06-25
Registered Nurse - 10-20k Incentives Offered,"Gulargambone, Gulargambone Multi Purpose Service | Orana",, 6 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-10-20k-incentives-offered-296600,2025-06-25,2025-06-25
Registered Nurse - Anaesthetics,"Camperdown, Royal Prince Alfred Hospital | Sydney",, 3 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-anaesthetics-296582,2025-06-25,2025-06-25
Registered Nurse - Medical Dementia/Delirium Unit,"Hornsby, Hornsby Ku-ring-gai Hospital | Sydney",, 7 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-medical-dementia-delirium-unit-296583,2025-06-25,2025-06-25
"Registered Nurse, Emergency Department","Hornsby, Hornsby Ku-ring-gai Hospital | Sydney",, 7 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-emergency-department-296593,2025-06-25,2025-06-25
Registered Nurse - Paediatrics Unit,"Hornsby, Hornsby Ku-ring-gai Hospital | Sydney",, 7 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-paediatrics-unit-296580,2025-06-25,2025-06-25
Community Registered Nurse - Temora,"Temora, Temora Health Service | Riverina",, 15 july 2025,https://jobs.health.nsw.gov.au/jobs/community-registered-nurse-temora-296594,2025-06-25,2025-06-25
Community Registered Nurse - Cootamundra Health One,"Cootamundra, Cootamundra Health One | Riverina",, 15 july 2025,https://jobs.health.nsw.gov.au/jobs/community-registered-nurse-cootamundra-health-one-296569,2025-06-25,2025-06-25
Fulltime or part-time Registered Nurse Coffs Harbour Acute Mental Health Unit,"Coffs Harbour, Coffs Harbour Health Campus | Mid North Coast",,7th july 2025,https://jobs.health.nsw.gov.au/jobs/fulltime-or-part-time-registered-nurse-coffs-harbour-acute-mental-health-unit-296564,2025-06-25,2025-06-25
Registered Nurse - Nurse Bank - South East Regional Hospital,"Bega, South East Regional Hospital | South Coast",, 2 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-nurse-bank-south-east-regional-hospital-296545,2025-06-25,2025-06-25
Registered Nurse - Cancer Care,"Bathurst, Bathurst Health Services | Central West",, 6 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-cancer-care-296541,2025-06-25,2025-06-25
Registered Nurse,"Westmead, Westmead Hospital | Western Sydney",,6th july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-296452,2025-06-25,2025-06-25
Registered Nurse,"Westmead, Westmead Hospital | Western Sydney",,6th july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-296450,2025-06-25,2025-06-25
"Registered Nurse (RN2-8), Primary Care - Casual - St Heliers Correctional Centre","Muswellbrook, Muswellbrook Justice Health | Hunter",,sunday 6 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-rn2-8-primary-care-casual-st-heliers-correctional-centre-296424,2025-06-25,2025-06-25
"Registered Nurse (RN2-8), Primary Care - Various upto 32 hours p/w - Cooma Correctional Centre","Cooma, Cooma Justice Health | South Coast",,6th july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-rn2-8-primary-care-various-upto-32-hours-p-w-cooma-correctional-centre-296431,2025-06-25,2025-06-25
Registered Nurse,"Westmead, Westmead Hospital | Western Sydney",,6th july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-296420,2025-06-25,2025-06-25
Registered Nurse - Discharge Lounge - Bega,"Bega, South East Regional Hospital | South Coast",, 29 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-discharge-lounge-bega-296429,2025-06-25,2025-06-25
Bega Valley Community Health - Child and Family Nurse,"Moruya, Eurobodalla Community Health Service at Moruya | South Coast",, 29 june 2025,https://jobs.health.nsw.gov.au/jobs/bega-valley-community-health-child-and-family-nurse-296428,2025-06-25,2025-06-25
Clinical Trial Coordinator,"Waratah, Calvary Mater Newcastle | Hunter",,,https://jobs.health.nsw.gov.au/jobs/clinical-trial-coordinator-296403,2025-06-25,2025-06-25
Registered Nurse - Child and Family Health -  Hoxton Park Community Health Centre - Perm PT,"Hoxton Park, Hoxton Park Community Health Centre | Western Sydney",,06/07/2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-child-and-family-health-hoxton-park-community-health-centre-perm-pt-296412,2025-06-25,2025-06-25
St George Hospital - Registered Nurse - Gynaecology / Surgical Short Stay - Permanent Part Time / Permanent Full Time,"Kogarah, St George Hospital | Sydney",, 29 june 2025,https://jobs.health.nsw.gov.au/jobs/st-george-hospital-registered-nurse-gynaecology-surgical-short-stay-permanent-part-time-permanent-full-time-296398,2025-06-25,2025-06-25
St George Hospital - Registered Nurse - HODC / Cancer Care Centre - Temporary Full Time,"Kogarah, St George Hospital | Sydney",, 29 june 2025,https://jobs.health.nsw.gov.au/jobs/st-george-hospital-registered-nurse-hodc-cancer-care-centre-temporary-full-time-296385,2025-06-25,2025-06-25
Registered Nurse - Primary & Community Health - Hoxton Park Community Health Centre - Perm PT,"Hoxton Park, Hoxton Park Community Health Centre | Western Sydney",,29/06/2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-primary-community-health-hoxton-park-community-health-centre-perm-pt-296384,2025-06-25,2025-06-25
Registered Nurse - Renal Dialysis - Perm PT,"Bowral, Bowral Hospital | Southern Highlands",,06/07/2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-renal-dialysis-perm-pt-296381,2025-06-25,2025-06-25
Registered Nurse - Palliative Care After Hours Outreach Service,"Mount Druitt, Mount Druitt Hospital | Western Sydney",,6th july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-palliative-care-after-hours-outreach-service-296372,2025-06-25,2025-06-25
St George Hospital - Registered Nurse - HODC / Cancer Care Centre - Temporary Part Time,"Kogarah, St George Hospital | Sydney",, 29 june 2025,https://jobs.health.nsw.gov.au/jobs/st-george-hospital-registered-nurse-hodc-cancer-care-centre-temporary-part-time-296365,2025-06-25,2025-06-25
St George Hospital - Registered Nurse - Inflammatory Bowel Disease - Temporary Part Time,"Kogarah, St George Hospital | Sydney",, 29 june 2025,https://jobs.health.nsw.gov.au/jobs/st-george-hospital-registered-nurse-inflammatory-bowel-disease-temporary-part-time-296361,2025-06-25,2025-06-25
St George Hospital - Registered Nurse - Diabetes - Temporary Part Time,"Kogarah, St George Hospital | Sydney",, 29 june 2025,https://jobs.health.nsw.gov.au/jobs/st-george-hospital-registered-nurse-diabetes-temporary-part-time-296339,2025-06-25,2025-06-25
"Registered Nurse (RN2-8), Primary Care – TFT upto 30 June 2028 – Metropolitan Remand and Reception Centre","Silverwater, Silverwater Justice Health | Western Sydney",,sunday 6 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-rn2-8-primary-care-%E2%80%93-tft-upto-30-june-2028-%E2%80%93-metropolitan-remand-and-reception-centre-296321,2025-06-25,2025-06-25
Registered Nurse,"Blacktown, Blacktown Hospital | Western Sydney",,6th july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-296320,2025-06-25,2025-06-25
"Registered Nurse, Renal Community - Lismore","Lismore, Lismore Base Hospital | Far North Coast",, 02 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-renal-community-lismore-296310,2025-06-25,2025-06-25
Registered Nurse - Infection Prevention & Control,"Narromine, Narromine Health Service | Central West",, 3 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-infection-prevention-control-296297,2025-06-25,2025-06-25
Registered Nurse - Mental Health Recovery Unit - Wagga Wagga,"Wagga Wagga, Wagga Wagga Base Hospital | Riverina",, 13 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-mental-health-recovery-unit-wagga-wagga-296309,2025-06-25,2025-06-25
"Diabetes Educator, Leading Better Value Care - Tweed","Tweed Heads, Tweed Community & Allied Health | Far North Coast",, 3 july 2025,https://jobs.health.nsw.gov.au/jobs/diabetes-educator-leading-better-value-care-tweed-296296,2025-06-25,2025-06-25
Registered Nurse - Child & Family - Crookwell,"Crookwell, Crookwell District Hospital | Southern Highlands",, 29 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-child-family-crookwell-296240,2025-06-25,2025-06-25
Registered Nurse - Child & Family - Goulburn,"Goulburn, Goulburn Community Health Centre | Southern Highlands",, 29 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-child-family-goulburn-296221,2025-06-25,2025-06-25
Registered Nurse - Case Manager,"Parramatta, Western Sydney Local Health District | Western Sydney",,3rd july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-case-manager-296224,2025-06-25,2025-06-25
Sydney Dialysis Centre Registered Nurse,"St Leonards, Royal North Shore Hospital | Sydney",, 3 july 2025,https://jobs.health.nsw.gov.au/jobs/sydney-dialysis-centre-registered-nurse-296226,2025-06-25,2025-06-25
Registered Nurse - Westmead Hospital Staffing Office,"Westmead, Westmead Hospital | Western Sydney",,4th july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-westmead-hospital-staffing-office-296216,2025-06-25,2025-06-25
Registered Nurse - Port Macquarie Mental Health Inpatient Unit 1A - Incentives Offered,"Port Macquarie, Port Macquarie Base Hospital | Mid North Coast",incentive package of up to, 3 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-port-macquarie-mental-health-inpatient-unit-1a-incentives-offered-296197,2025-06-25,2025-06-25
"Registered Nurse, Mental Health Unit - St George MHS","Kogarah, St George Mental Health Service | Sydney",, 6 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-mental-health-unit-st-george-mhs-296190,2025-06-25,2025-06-25
Registered Nurse - Surgical/Medical Ward - $5k Incentive Offered - Cooma Hospital,"Cooma, Cooma District Hospital | South Coast",salary packaging – up to; incentive scheme with a value of up to, 30 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-surgical-medical-ward-5k-incentive-offered-cooma-hospital-296180,2025-06-25,2025-06-25
SESLHD - Registered Nurse - Sexual Health,"Sydney, Sydney Hospital and Sydney Eye Hospital | Sydney",, 03 july 2025,https://jobs.health.nsw.gov.au/jobs/seslhd-registered-nurse-sexual-health-296185,2025-06-25,2025-06-25
Child and Family Health Nurse - Building Strong Foundations (BSF) - Lake Cargelligo,"Lake Cargelligo, Lake Cargelligo Multi Purpose Service | Central West",, 11 july 2025,https://jobs.health.nsw.gov.au/jobs/child-and-family-health-nurse-building-strong-foundations-bsf-lake-cargelligo-296171,2025-06-25,2025-06-25
Registered Nurse – Intensive Care Service – RPAH,"Camperdown, Royal Prince Alfred Hospital | Sydney",, 29 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-%E2%80%93-intensive-care-service-%E2%80%93-rpah-296164,2025-06-25,2025-06-25
Registered Nurse - Hospital in The Home - Goulburn,"Goulburn, Goulburn Community Health Centre | Southern Highlands",, 29 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-hospital-in-the-home-goulburn-296162,2025-06-25,2025-06-25
"CCLHD - Registered Nurse, Mental Health - Wyong Inpatient",Central Coast,,sunday 29 july at 11:59 pm 2025,https://jobs.health.nsw.gov.au/jobs/cclhd-registered-nurse-mental-health-wyong-inpatient-296170,2025-06-25,2025-06-25
"CCLHD - Registered Nurse - Emergency Department, Wyong Hospital",Central Coast and 1 additional location,,"thursday, 3rd july 2025",https://jobs.health.nsw.gov.au/jobs/cclhd-registered-nurse-emergency-department-wyong-hospital-296175,2025-06-25,2025-06-25
Registered Nurse,"St Leonards, Royal North Shore Hospital | Sydney",, 26 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-296156,2025-06-25,2025-06-25
Registered Nurse - Hoxton Park Community Health Centre - Perm FT,"Hoxton Park, Hoxton Park Community Health Centre | Western Sydney",,29/06/2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-hoxton-park-community-health-centre-perm-ft-296151,2025-06-25,2025-06-25
Registered Nurse - Child & Family - Yass,"Yass, Yass Community Health Centre | Southern Highlands",, 29 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-child-family-yass-296155,2025-06-25,2025-06-25
Registered Nurse - Child & Family (Casual),"Gilgandra, Gilgandra Multi Purpose Service | Orana",,2nd july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-child-family-casual-296150,2025-06-25,2025-06-25
Registered Nurse - Sustaining (SNF) NSW Families - Goulburn or Queanbeyan,"Queanbeyan, Queanbeyan Community Health Centre | South Coast",, 29 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-sustaining-snf-nsw-families-goulburn-or-queanbeyan-296146,2025-06-25,2025-06-25
Registered Nurse Community Nurse,"Hornsby, Hornsby Ku-ring-gai Hospital | Sydney",, 3 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-community-nurse-296153,2025-06-25,2025-06-25
CCLHD - Registered Nurse - Perioperative,Central Coast and 1 additional location,,sunday 29 june 2025,https://jobs.health.nsw.gov.au/jobs/cclhd-registered-nurse-perioperative-296131,2025-06-25,2025-06-25
Clinical Research (Registered Nurse) - Haematology,"Camperdown, Royal Prince Alfred Hospital | Sydney",, 3 july 2025,https://jobs.health.nsw.gov.au/jobs/clinical-research-registered-nurse-haematology-296137,2025-06-25,2025-06-25
"Registered Nurse, Perioperative - Lismore","Lismore, Lismore Base Hospital | Far North Coast","salary packaging + more. employment type: permanent full time or part time position classification: registered nurseremuneration: $72,152.53", 01 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-perioperative-lismore-296129,2025-06-25,2025-06-25
Registered Nurse - Casual Pool - Community Mental Health Services (CMHS),Sydney,, 29 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-casual-pool-community-mental-health-services-cmhs-296128,2025-06-25,2025-06-25
"Registered Nurse, Emergency Department","Katoomba, Blue Mountains Hospital | Western Sydney",,01/07/2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-emergency-department-296091,2025-06-25,2025-06-25
"Registered Nurse (RN 2-8), Primary Care, Acmena Juvenile Justice Centre - PPT 12 hours p/w","South Grafton, South Grafton Justice Health | Far North Coast",,"wednesday, 02 july 2025",https://jobs.health.nsw.gov.au/jobs/registered-nurse-rn-2-8-primary-care-acmena-juvenile-justice-centre-ppt-12-hours-p-w-296068,2025-06-25,2025-06-25
Registered Nurse,"Hornsby, Hornsby Ku-ring-gai Hospital | Sydney",, 2 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-296079,2025-06-25,2025-06-25
"Registered Nurse (RN2-8), Primary Care - PFT - Tamworth Correctional Centre","Tamworth, Tamworth Justice Health | New England / North West",,"wednesday, 02 july 2025",https://jobs.health.nsw.gov.au/jobs/registered-nurse-rn2-8-primary-care-pft-tamworth-correctional-centre-296078,2025-06-25,2025-06-25
Registered Nurse Northern Sydney Cancer Centre,"St Leonards, Royal North Shore Hospital | Sydney",, 2 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-northern-sydney-cancer-centre-296053,2025-06-25,2025-06-25
"Registered Nurse, Intensive Care Unit - various locations within NNSWLHD","Grafton, Grafton Base Hospital | Far North Coast and 2 additional locations",salary packaging + more. permanent and temporary full time and part time opportunities available position classification: registered nurseremuneration: $72152.53, 13 august 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-intensive-care-unit-various-locations-within-nnswlhd-296049,2025-06-25,2025-06-25
Registered Nurse - Palliative Care - Perm FT/ PT,"Liverpool, Liverpool Hospital | Western Sydney",,29/06/2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-palliative-care-perm-ft-pt-296034,2025-06-25,2025-06-25
Registered Nurse - B3 East - Wollongong Hospital,"Wollongong, Wollongong Hospital | Illawarra",,,https://jobs.health.nsw.gov.au/jobs/registered-nurse-b3-east-wollongong-hospital-296008,2025-06-25,2025-06-25
Registered Nurse - Bronchoscopy Clinic RPA,"Camperdown, Royal Prince Alfred Hospital | Sydney",, 28 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-bronchoscopy-clinic-rpa-295980,2025-06-25,2025-06-25
"Registered Nurse, Shoalhaven Cancer Care Centre","Nowra, Shoalhaven Cancer Care Centre | Illawarra and 1 additional location",, 3 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-shoalhaven-cancer-care-centre-295987,2025-06-25,2025-06-25
Registered Nurse - Respiratory Liaison - Community Health - Coffs Harbour,"Coffs Harbour, Coffs Harbour Health Campus | Mid North Coast",, 7 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-respiratory-liaison-community-health-coffs-harbour-295989,2025-06-25,2025-06-25
Registered Nurse - CAR-T Cell Ambulatory Care,"Camperdown, Royal Prince Alfred Hospital | Sydney",, 28 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-car-t-cell-ambulatory-care-295999,2025-06-25,2025-06-25
Registered Nurse - Young,"Young, Young Health Service | Riverina",, 10 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-young-295994,2025-06-25,2025-06-25
Registered Nurse in Critical Care,"Eastwood, Ryde Hospital | Sydney",, 1 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-in-critical-care-295964,2025-06-25,2025-06-25
Registered Nurse - Emergency Department,"Mudgee, Mudgee Health Service | Central West",, 1 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-emergency-department-295973,2025-06-25,2025-06-25
Registered Nurse - Renal Services,"Forbes, Forbes Health Service | Central West",, 1 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-renal-services-295966,2025-06-25,2025-06-25
"Registered Nurse, Ambulatory Care Services - Wagga Wagga","Wagga Wagga, Wagga Wagga Base Hospital | Riverina",, 10 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-ambulatory-care-services-wagga-wagga-295962,2025-06-25,2025-06-25
Registered Nurse - Infection Prevention Unit - Perm PT,"Prairiewood, Fairfield Hospital | Western Sydney",,29/06/2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-infection-prevention-unit-perm-pt-295943,2025-06-25,2025-06-25
Registered Nurse - Inpatient Unit,"Mudgee, Mudgee Health Service | Central West",, 1 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-inpatient-unit-295944,2025-06-25,2025-06-25
Registered Nurse - Immunology and Allergy - Perm PT,"Campbelltown, Campbelltown Hospital | Western Sydney",,06/07/2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-immunology-and-allergy-perm-pt-295954,2025-06-25,2025-06-25
"Registered Nurse, Community Mental Health Service","Wollongong, Illawarra Community Mental Health Service | Illawarra",, 3 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-community-mental-health-service-295929,2025-06-25,2025-06-25
Registered Nurse,"Westmead, Westmead Hospital | Western Sydney",,29th june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-295923,2025-06-25,2025-06-25
Registered Nurse - Coronary Care & Stroke Unit,"Orange, Orange Health Service | Central West",, 30 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-coronary-care-stroke-unit-295902,2025-06-25,2025-06-25
Registered Nurse - Extended Day Surgery Unit (EDSU),"Orange, Orange Health Service | Central West",, 30 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-extended-day-surgery-unit-edsu-295896,2025-06-25,2025-06-25
Registered Nurse - Surgical Ward,"Bathurst, Bathurst Health Services | Central West",, 30 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-surgical-ward-295891,2025-06-25,2025-06-25
"Incentives Offered! Registered Nurse (RN2-8), Primary Care - Various - Glen Innes Correctional Centre","Glen Innes, Glen Innes Justice Health | New England / North West",,1st july 2025,https://jobs.health.nsw.gov.au/jobs/incentives-offered-registered-nurse-rn2-8-primary-care-various-glen-innes-correctional-centre-295894,2025-06-25,2025-06-25
Registered Nurse,Statewide,, 1 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-295885,2025-06-25,2025-06-25
Registered Nurse - Emergency Department,"Orange, Orange Health Service | Central West",, 30 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-emergency-department-295886,2025-06-25,2025-06-25
Registered Nurse – Primary & Community Health,"Parkes, Parkes Health Service | Central West",, 30 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-%E2%80%93-primary-community-health-295823,2025-06-25,2025-06-25
"Registered Nurse, Introduction to Mental Health Nursing - ESMHS","Randwick, Eastern Suburbs Mental Health Service | Sydney",, 29 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-introduction-to-mental-health-nursing-esmhs-295829,2025-06-25,2025-06-25
Registered Nurse - Paediatric Ward - Coffs Harbour Health Campus,"Coffs Harbour, Coffs Harbour Health Campus | Mid North Coast",, 1 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-paediatric-ward-coffs-harbour-health-campus-295820,2025-06-25,2025-06-25
"Registered Nurse, Palliative Care - David Berry Hospital","Berry, David Berry Hospital | Illawarra",, 1 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-palliative-care-david-berry-hospital-295836,2025-06-25,2025-06-25
CCLHD - Registered Nurse - Outpatients - Cancer Services,Central Coast,,sunday 29 june 2025,https://jobs.health.nsw.gov.au/jobs/cclhd-registered-nurse-outpatients-cancer-services-295808,2025-06-25,2025-06-25
